officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude,latitude,longitude
Katkona B.O,497449,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Manendragarh,Koriya,CHATTISGARH,NA,Chirimiri Colly S.O,Ambikapur H.O,82.38191966000001,23.10979188,23.10979188,82.38191966000001
Katkona B.O,497331,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Baikunthapur,Koriya,CHATTISGARH,NA,Patna S.O,Ambikapur H.O,82.7345876,23.30465445,23.30465445,82.7345876
Kawai B.O,496336,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Sanna S.O,Raigarh H.O,NA,NA,NA,NA
Kaya B.O,496113,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Lailunga S.O,Raigarh H.O,83.51630555,22.36998415,22.36998415,83.51630555
Kedar B.O,496445,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Sarangarh S.O,Raigarh H.O,83.136411675,21.582818725,21.582818725,83.136411675
Kedma B.O,497117,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Lakhanpur,Surguja,CHATTISGARH,NA,Udaipur S.O,Ambikapur H.O,NA,NA,NA,NA
Kelhari B.O,497442,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Manendragarh,Koriya,CHATTISGARH,NA,Manendragarh S.O,Ambikapur H.O,82.215487425,23.26844835,23.26844835,82.215487425
Keradih B.O,496334,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Duldula S.O,Raigarh H.O,84.105537,22.711876,22.711876,84.105537
Kerju B.O,496223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Kansabel S.O,Raigarh H.O,83.67034673333333,22.766541366666665,22.766541366666665,83.67034673333333
Kersai B.O,496227,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Tapkara S.O,Raigarh H.O,83.951439,22.5524598,22.5524598,83.951439
Kesari B.O,497225,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Pratappur,Surguja,CHATTISGARH,NA,Wadrafnagar S.O,Ambikapur H.O,83.14610674772727,23.876157779545455,23.876157779545455,83.14610674772727
Kesra B.O,496330,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Manora S.O (Jashpur),Raigarh H.O,83.968753,23.117405,23.117405,83.968753
Ketka B.O,497229,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Surajpur S.O,Ambikapur H.O,82.89004951111112,23.236818855555555,23.236818855555555,82.89004951111112
Ketka B.O,497223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Pratappur S.O (Surguja),Ambikapur H.O,83.26448538095238,23.54392792857143,23.54392792857143,83.26448538095238
Kewra B.O,497223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Pratappur S.O (Surguja),Ambikapur H.O,83.26448538095238,23.54392792857143,23.54392792857143,83.26448538095238
Khadadorna B.O,497111,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sitapur,Surguja,CHATTISGARH,NA,Sitapur S.O,Ambikapur H.O,83.47180013333333,22.840427466666664,22.840427466666664,83.47180013333333
Khadgaon B.O,497223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Pratappur S.O (Surguja),Ambikapur H.O,83.26448538095238,23.54392792857143,23.54392792857143,83.26448538095238
Khadgaon B.O,497449,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Manendragarh,Koriya,CHATTISGARH,NA,Chirimiri Colly S.O,Ambikapur H.O,82.38191966000001,23.10979188,23.10979188,82.38191966000001
Khadgaon B.O,496116,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Dharmajaigarh,Raigarh,CHATTISGARH,NA,Dharmajaigarh S.O,Raigarh H.O,83.1796794,22.421968775,22.421968775,83.1796794
Khamhar B.O,496116,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Dharmajaigarh,Raigarh,CHATTISGARH,NA,Dharmajaigarh S.O,Raigarh H.O,83.1796794,22.421968775,22.421968775,83.1796794
Khamhar B.O,496665,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Udaipur (Dharamjaigarh),Raigarh,CHATTISGARH,NA,Chhal S.O,Raigarh H.O,83.07660076666666,22.130691133333336,22.130691133333336,83.07660076666666
Khamhariya B.O,497117,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Lakhanpur,Surguja,CHATTISGARH,NA,Udaipur S.O,Ambikapur H.O,NA,NA,NA,NA
Khamrodh B.O,497778,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Janakpur,Koriya,CHATTISGARH,NA,Janakpur S.O,Ambikapur H.O,81.995850875,23.672312025,23.672312025,81.995850875
Kharri B.O,496445,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Sarangarh S.O,Raigarh H.O,83.136411675,21.582818725,21.582818725,83.136411675
Kharsia S.O,496661,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Kharsia,Raigarh,CHATTISGARH,07762-272003,NA,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Kharsouna B.O,496331,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Jashpurnagar S.O,Raigarh H.O,84.1493431,22.88821348,22.88821348,84.1493431
Khod B.O,497225,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Pratappur,Surguja,CHATTISGARH,NA,Wadrafnagar S.O,Ambikapur H.O,83.14610674772727,23.876157779545455,23.876157779545455,83.14610674772727
Khokhsipali B.O,496445,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarnagarh,Raigarh,CHATTISGARH,NA,Sarangarh S.O,Raigarh H.O,83.136411675,21.582818725,21.582818725,83.136411675
Khutera B.O,496223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Bagicha,Jashpur,CHATTISGARH,NA,Kansabel S.O,Raigarh H.O,83.67034673333333,22.766541366666665,22.766541366666665,83.67034673333333
Khutgaon B.O,496242,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Farsabahar S.O,Raigarh H.O,83.849699,22.519733,22.519733,83.849699
Kilkila B.O,496118,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Pathalgaon,Jashpur,CHATTISGARH,NA,Pathalgoan S.O,Raigarh H.O,83.44486886666667,22.577270866666666,22.577270866666666,83.44486886666667
Kirodimalnagar B.O,496005,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,JSPL Patrapli S.O,Raigarh H.O,83.3337231,21.9312336,21.9312336,83.3337231
Koda B.O,497449,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Manendragarh,Koriya,CHATTISGARH,NA,Chirimiri Colly S.O,Ambikapur H.O,82.38191966000001,23.10979188,23.10979188,82.38191966000001
Kodasia B.O,496115,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Rajpur (RIH) S.O,Raigarh H.O,NA,NA,NA,NA
Kokiakhar B.O,496220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Ludeg S.O,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Kolam B.O,496107,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Tamnar S.O,Raigarh H.O,83.45357225,22.0324891,22.0324891,83.45357225
Kolhejharia B.O,496220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Ludeg S.O,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Komdo B.O,496331,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Jashpurnagar S.O,Raigarh H.O,84.1493431,22.88821348,22.88821348,84.1493431
Kondapali B.O,496440,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Pussore S.O,Raigarh H.O,83.4192159,21.76526185,21.76526185,83.4192159
Kondatarai S.O,496100,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,07762-261820,NA,Raigarh H.O,83.32370775,21.7868661,21.7868661,83.32370775
Kondtarai B.O,496661,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Kharsia S.O,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Konpara B.O,496245,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Lawakera S.O,Raigarh H.O,83.86124115,22.36999995,22.36999995,83.86124115
Korea Colly S.O,497559,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Baikunthapur,Koriya,CHATTISGARH,07771-266628,NA,Ambikapur H.O,NA,NA,NA,NA
Kosir B.O,496445,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Sarangarh S.O,Raigarh H.O,83.136411675,21.582818725,21.582818725,83.136411675
Kot B.O,497111,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sitapur,Surguja,CHATTISGARH,NA,Sitapur S.O,Ambikapur H.O,83.47180013333333,22.840427466666664,22.840427466666664,83.47180013333333
Kotadol B.O,497778,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Janakpur,Koriya,CHATTISGARH,NA,Janakpur S.O,Ambikapur H.O,81.995850875,23.672312025,23.672312025,81.995850875
Kotarlia B.O,496001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,NA,Raigarh H.O,83.38185532075472,21.891284179245286,21.891284179245286,83.38185532075472
Kotasura B.O,496440,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Pussore S.O,Raigarh H.O,83.4192159,21.76526185,21.76526185,83.4192159
Kotba B.O,496220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Ludeg S.O,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Koteya B.O,497223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Pratappur S.O (Surguja),Ambikapur H.O,83.26448538095238,23.54392792857143,23.54392792857143,83.26448538095238
Kothali B.O,497118,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Rajpur (SIJ) S.O,Ambikapur H.O,83.62439379411764,23.36819352352941,23.36819352352941,83.62439379411764
Kotra B.O,496001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,NA,Raigarh H.O,83.38185532075472,21.891284179245286,21.891284179245286,83.38185532075472
Kotri B.O,496450,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Hardi S.O (Raigarh),Raigarh H.O,83.1639982,21.6651247,21.6651247,83.1639982
Kotrimal B.O,496111,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Gharghoda S.O,Raigarh H.O,83.36323568333334,22.197314433333336,22.197314433333336,83.36323568333334
Krishnanagar B.O,497220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Ramanujganj S.O,Ambikapur H.O,83.57153603200001,23.749082196,23.749082196,83.57153603200001
Krishnangar B.O,497229,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surajpur,Surguja,CHATTISGARH,NA,Surajpur S.O,Ambikapur H.O,82.89004951111112,23.236818855555555,23.236818855555555,82.89004951111112
Kudekela B.O,496665,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Udaipur (Dharamjaigarh),Raigarh,CHATTISGARH,NA,Chhal S.O,Raigarh H.O,83.07660076666666,22.130691133333336,22.130691133333336,83.07660076666666
Kudhari B.O,496445,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Sarangarh S.O,Raigarh H.O,83.136411675,21.582818725,21.582818725,83.136411675
Kudumkela B.O,496111,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Gharghoda S.O,Raigarh H.O,83.36323568333334,22.197314433333336,22.197314433333336,83.36323568333334
Kukurbhaka B.O,496220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Ludeg S.O,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Kukurda B.O,496001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,NA,Raigarh H.O,83.38185532075472,21.891284179245286,21.891284179245286,83.38185532075472
Kukurgaon B.O,496220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Ludeg S.O,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Kuma B.O,496116,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Dharmajaigarh,Raigarh,CHATTISGARH,NA,Dharmajaigarh S.O,Raigarh H.O,83.1796794,22.421968775,22.421968775,83.1796794
Kumarta B.O,496118,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Pathalgaon,Jashpur,CHATTISGARH,NA,Pathalgoan S.O,Raigarh H.O,83.44486886666667,22.577270866666666,22.577270866666666,83.44486886666667
Kumda Colly B.O,497226,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surajpur,Surguja,CHATTISGARH,NA,Bishrampur S.O (Surguja),Ambikapur H.O,82.97503915,23.15452,23.15452,82.97503915
Kundikala B.O,497001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,Ambikapur,Surguja,CHATTISGARH,NA,NA,Ambikapur H.O,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Kunjara B.O,496225,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Kunkuri S.O,Raigarh H.O,83.940498925,22.76838195,22.76838195,83.940498925
Kunjara B.O,496113,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Lailunga S.O,Raigarh H.O,83.51630555,22.36998415,22.36998415,83.51630555
Kunkuni B.O,496661,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Kharsia S.O,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Kunkuri S.O,496225,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,07764-250221,NA,Raigarh H.O,83.940498925,22.76838195,22.76838195,83.940498925
Kunni B.O,497116,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Lakhanpur,Surguja,CHATTISGARH,NA,Lakhanpur S.O (Surguja),Ambikapur H.O,83.0187313625,23.02542425,23.02542425,83.0187313625
Kurasia Colly S.O,497553,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Chirimiri,Koriya,CHATTISGARH,07771-269685,NA,Ambikapur H.O,82.3652731,23.1701227,23.1701227,82.3652731
Kurdeg B.O,496224,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Bagicha,Jashpur,CHATTISGARH,NA,Bagicha S.O,Raigarh H.O,83.6555563,22.9768562,22.9768562,83.6555563
Kurkunga B.O,496225,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Kunkuri S.O,Raigarh H.O,83.940498925,22.76838195,22.76838195,83.940498925
Kurrog B.O,496224,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Bagicha,Jashpur,CHATTISGARH,NA,Bagicha S.O,Raigarh H.O,83.6555563,22.9768562,22.9768562,83.6555563
Kusmi S.O,497224,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Kusmi,Surguja,CHATTISGARH,07778-274433,NA,Ambikapur H.O,83.95143612142857,23.27826827142857,23.27826827142857,83.95143612142857
Lahpatra B.O,497116,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Lakhanpur,Surguja,CHATTISGARH,NA,Lakhanpur S.O (Surguja),Ambikapur H.O,83.0187313625,23.02542425,23.02542425,83.0187313625
Lailunga S.O,496113,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,07767-274230,NA,Raigarh H.O,83.51630555,22.36998415,22.36998415,83.51630555
Lakhanpur S.O (Surguja),497116,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Lakhanpur,Surguja,CHATTISGARH,07774-261436,NA,Ambikapur H.O,83.0187313625,23.02542425,23.02542425,83.0187313625
Lamgaon B.O,497101,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sitapur,Surguja,CHATTISGARH,NA,Batouli S.O,Ambikapur H.O,83.4042239,23.04036182857143,23.04036182857143,83.4042239
Lanjit B.O,497231,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surajpur,Surguja,CHATTISGARH,NA,Bhaiyathan S.O,Ambikapur H.O,82.81767298333334,23.497621,23.497621,82.81767298333334
Larima B.O,497224,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kusmi,Surguja,CHATTISGARH,NA,Kusmi S.O,Ambikapur H.O,83.95143612142857,23.27826827142857,23.27826827142857,83.95143612142857
Laripani B.O,496113,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Lailunga S.O,Raigarh H.O,83.51630555,22.36998415,22.36998415,83.51630555
Lathbora B.O,496227,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Tapkara S.O,Raigarh H.O,83.951439,22.5524598,22.5524598,83.951439
Latori B.O,497001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,Ambikapur,Surguja,CHATTISGARH,NA,NA,Ambikapur H.O,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Lawakera S.O,496245,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,0776-298200,NA,Raigarh H.O,83.86124115,22.36999995,22.36999995,83.86124115
Laxmangarh B.O,497117,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Lakhanpur,Surguja,CHATTISGARH,NA,Udaipur S.O,Ambikapur H.O,NA,NA,NA,NA
Lendhra B.O,496551,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Baramkela S.O,Raigarh H.O,83.2783685,21.53263745,21.53263745,83.2783685
Libra B.O,496107,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Tamnar S.O,Raigarh H.O,83.45357225,22.0324891,22.0324891,83.45357225
Lodam B.O,496338,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Gholeng S.O,Raigarh H.O,84.3508685,22.9555469,22.9555469,84.3508685
Lodha B.O,497220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Ramanujganj S.O,Ambikapur H.O,83.57153603200001,23.749082196,23.749082196,83.57153603200001
Lodhia B.O,496551,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Baramkela S.O,Raigarh H.O,83.2783685,21.53263745,21.53263745,83.2783685
Lodhma B.O,496225,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Kunkuri S.O,Raigarh H.O,83.940498925,22.76838195,22.76838195,83.940498925
Loharsingha B.O,496100,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Kondatarai S.O,Raigarh H.O,83.32370775,21.7868661,21.7868661,83.32370775
Loing B.O,496001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,NA,Raigarh H.O,83.38185532075472,21.891284179245286,21.891284179245286,83.38185532075472
Lokhandi B.O,496338,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Gholeng S.O,Raigarh H.O,84.3508685,22.9555469,22.9555469,84.3508685
Lolki B.O,497223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Pratappur S.O (Surguja),Ambikapur H.O,83.26448538095238,23.54392792857143,23.54392792857143,83.26448538095238
Ludeg S.O,496220,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,07765-275220,NA,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Lukapara B.O,496554,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Saria S.O,Raigarh H.O,83.33380585,21.63827965,21.63827965,83.33380585
Lukhi B.O,496330,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Manora S.O (Jashpur),Raigarh H.O,83.968753,23.117405,23.117405,83.968753
Lundra B.O,497101,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sitapur,Surguja,CHATTISGARH,NA,Batouli S.O,Ambikapur H.O,83.4042239,23.04036182857143,23.04036182857143,83.4042239
Lurgikala B.O,497118,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Rajpur (SIJ) S.O,Ambikapur H.O,83.62439379411764,23.36819352352941,23.36819352352941,83.62439379411764
Madanpur B.O,497333,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Ramanujnagar S.O,Ambikapur H.O,82.83580995,22.74638175,22.74638175,82.83580995
Madanpur B.O,496661,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Kharsia S.O,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Madguri B.O,497224,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kusmi,Surguja,CHATTISGARH,NA,Kusmi S.O,Ambikapur H.O,83.95143612142857,23.27826827142857,23.27826827142857,83.95143612142857
Madhopali B.O,496551,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Baramkela S.O,Raigarh H.O,83.2783685,21.53263745,21.53263745,83.2783685
Mahagai B.O,497117,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Lakhanpur,Surguja,CHATTISGARH,NA,Udaipur S.O,Ambikapur H.O,NA,NA,NA,NA
Maharajganj B.O,497119,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Ambikapur,Surguja,CHATTISGARH,NA,Balrampur S.O,Ambikapur H.O,83.51204869615384,23.435207934615384,23.435207934615384,83.51204869615384
Maharajganj B.O,496116,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Dharmajaigarh,Raigarh,CHATTISGARH,NA,Dharmajaigarh S.O,Raigarh H.O,83.1796794,22.421968775,22.421968775,83.1796794
Mahewa B.O,497225,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Pratappur,Surguja,CHATTISGARH,NA,Wadrafnagar S.O,Ambikapur H.O,83.14610674772727,23.876157779545455,23.876157779545455,83.14610674772727
Mahloi B.O,496440,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Pussore S.O,Raigarh H.O,83.4192159,21.76526185,21.76526185,83.4192159
Mahloi B.O,496107,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Tamnar S.O,Raigarh H.O,83.45357225,22.0324891,22.0324891,83.45357225
Mahora B.O,497331,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Baikunthapur,Koriya,CHATTISGARH,NA,Patna S.O,Ambikapur H.O,82.7345876,23.30465445,23.30465445,82.7345876
Mahuadhodha B.O,496445,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Sarangarh S.O,Raigarh H.O,83.136411675,21.582818725,21.582818725,83.136411675
Mahuwapali B.O,496661,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Kharsia S.O,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Makribandha B.O,496334,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Duldula S.O,Raigarh H.O,84.105537,22.711876,22.711876,84.105537
Malda B.O,496551,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Baramkela S.O,Raigarh H.O,83.2783685,21.53263745,21.53263745,83.2783685
Mandisarai B.O,497778,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Janakpur,Koriya,CHATTISGARH,NA,Janakpur S.O,Ambikapur H.O,81.995850875,23.672312025,23.672312025,81.995850875
Manendragarh S.O,497442,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Manendragarh,Koriya,CHATTISGARH,07771-243415,NA,Ambikapur H.O,82.215487425,23.26844835,23.26844835,82.215487425
Manikpur B.O,496554,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Saria S.O,Raigarh H.O,83.33380585,21.63827965,21.63827965,83.33380585
Manoharpur B.O,497118,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Rajpur (SIJ) S.O,Ambikapur H.O,83.62439379411764,23.36819352352941,23.36819352352941,83.62439379411764
Manora S.O (Jashpur),496330,S.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,07763-264338,NA,Raigarh H.O,83.968753,23.117405,23.117405,83.968753
Mansukh B.O,497335,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Baikunthapur,Koriya,CHATTISGARH,NA,Baikunthapur S.O,Ambikapur H.O,82.54227245,23.242552475,23.242552475,82.54227245
Marol B.O,496224,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Bagicha,Jashpur,CHATTISGARH,NA,Bagicha S.O,Raigarh H.O,83.6555563,22.9768562,22.9768562,83.6555563
Masga B.O,497223,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Surguja,Surguja,CHATTISGARH,NA,Pratappur S.O (Surguja),Ambikapur H.O,83.26448538095238,23.54392792857143,23.54392792857143,83.26448538095238
Menderbahar B.O,496242,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Farsabahar S.O,Raigarh H.O,83.849699,22.519733,22.519733,83.849699
