officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Oinam B.O,795007,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Karong S.O,Imphal H.O,NA,NA
Oinam Thingel B.O,795008,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Singjamei S.O,Imphal H.O,NA,NA
Oklong B.O,795106,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Senapati S.O,Imphal H.O,NA,NA
Okram Wangmataba B.O,795138,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Thoubal S.O,Imphal H.O,NA,NA
Oktan B.O,795146,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Lamsang S.O,Imphal H.O,NA,NA
Pallel S.O,795135,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,03848-261244,NA,Imphal H.O,NA,NA
Pangaltabi B.O,795103,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Kakching S.O,Imphal H.O,NA,NA
Pangjang B.O,795118,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Saikul S.O,Imphal H.O,NA,NA
Panglian B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O,NA,NA
Paobitek B.O,795009,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Wangoi S.O,Imphal H.O,NA,NA
Paomata Centre B.O,795104,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Tadubi S.O,Imphal H.O,NA,NA
Paorei B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Paoyii B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
