officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Jongksha B.O,793015,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Smit,East Khasi Hills,MEGHALAYA,NA,Smit S.O,Shillong G.P.O. ,NA,NA
Jorabat B.O,793101,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Byrnihat,Ri Bhoi,MEGHALAYA,NA,Byrnihat S.O,Shillong G.P.O. ,NA,NA
Joshipara B.O,794103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Barengapara,West Garo Hills,MEGHALAYA,NA,Barengapara S.O,Tura H.O,NA,NA
Jowai S.O,793150,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Jowai,Jaintia Hills,MEGHALAYA,03652-220888,NA,Shillong G.P.O. ,NA,NA
Kalaichar B.O,794115,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Ampati,West Garo Hills,MEGHALAYA,NA,Ampati S.O,Tura H.O,NA,NA
Kalaipara B.O,794106,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mahendraganj,West Garo Hills,MEGHALAYA,NA,Mahendraganj S.O (West Garo Hills),Tura H.O,NA,NA
Kalatak B.O,793112,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shella,East Khasi Hills,MEGHALAYA,NA,Shella S.O,Shillong G.P.O. ,NA,NA
Kalchengapara B.O,794105,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Garobadha,West Garo Hills,MEGHALAYA,NA,Garobadha S.O,Tura H.O,NA,NA
Kapasipara B.O,794103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Barengapara,West Garo Hills,MEGHALAYA,NA,Barengapara S.O,Tura H.O,NA,NA
Katuli B.O,794115,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Ampati,West Garo Hills,MEGHALAYA,NA,Ampati S.O,Tura H.O,NA,NA
Kawahagra B.O,794106,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mahendraganj,West Garo Hills,MEGHALAYA,NA,Mahendraganj S.O (West Garo Hills),Tura H.O,NA,NA
Khanduli B.O,793151,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Thadlaskein,Jaintia Hills,MEGHALAYA,NA,Thadlaskein S.O,Shillong G.P.O. ,NA,NA
Kharang B.O,793015,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Smit,East Khasi Hills,MEGHALAYA,NA,Smit S.O,Shillong G.P.O. ,NA,NA
Kharapara B.O,794103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Barengapara,West Garo Hills,MEGHALAYA,NA,Barengapara S.O,Tura H.O,NA,NA
Kharkutta B.O,783134,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Dudnai,East Garo Hills,MEGHALAYA,NA,Darragiri S.O,Dhubri H.O,NA,NA
Khatum B.O,793200,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,NA,Jaintia Hills,MEGHALAYA,NA,Khliehriat S.O,Shillong G.P.O. ,NA,NA
Khlieh Lyngkhoi B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Khliehmawlieh B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Khliehriat S.O,793200,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Khliehriat,Jaintia Hills,MEGHALAYA,03655-231081,NA,Shillong G.P.O. ,NA,NA
Khonjoy B.O,793106,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,NA,East Khasi Hills,MEGHALAYA,NA,Balat S.O,Shillong G.P.O. ,NA,NA
Killapara B.O,794103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Barengapara,West Garo Hills,MEGHALAYA,NA,Barengapara S.O,Tura H.O,NA,NA
Killing Centre B.O,793101,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Byrnihat,Ri Bhoi,MEGHALAYA,NA,Byrnihat S.O,Shillong G.P.O. ,NA,NA
Kyndong Tuber B.O,793150,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Jowai,Jaintia Hills,MEGHALAYA,NA,Jowai S.O,Shillong G.P.O. ,NA,NA
Kynjoin Umran B.O,793102,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongpoh,Ri Bhoi,MEGHALAYA,NA,Nongpoh S.O,Shillong G.P.O. ,NA,NA
Kynrut B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Kynshi B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Kynton - U - Mon B.O,793021,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Madanriting,East Khasi Hills,MEGHALAYA,NA,Madanriting S.O,Shillong G.P.O. ,NA,NA
Kynton Massar B.O,793022,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawlai,East Khasi Hills,MEGHALAYA,NA,Nehu S.O,Shillong G.P.O. ,NA,NA
Kyrdem B.O,793103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Umiam,Ri Bhoi,MEGHALAYA,NA,Umiam S.O,Shillong G.P.O. ,NA,NA
Kyrdem Kulai B.O,793105,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Umsning,Ri Bhoi,MEGHALAYA,NA,Umsning S.O,Shillong G.P.O. ,NA,NA
Laban S.O,793004,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2227900,NA,Shillong G.P.O. ,NA,NA
Ladmawphlang B.O,793111,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrabazar,East Khasi Hills,MEGHALAYA,NA,Cherrabazar S.O,Shillong G.P.O. ,NA,NA
Ladrymbai S.O,793160,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Ladrymbai,Jaintia Hills,MEGHALAYA,03655-263641,NA,Shillong G.P.O. ,NA,NA
Lailad B.O,793102,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongpoh,Ri Bhoi,MEGHALAYA,NA,Nongpoh S.O,Shillong G.P.O. ,NA,NA
Laitdombah B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Laitduh B.O,793111,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrabazar,East Khasi Hills,MEGHALAYA,NA,Cherrabazar S.O,Shillong G.P.O. ,NA,NA
Laitkor B.O,793010,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Laitkor Peak,East Khasi Hills,MEGHALAYA,NA,Laitkor Peak S.O,Shillong G.P.O. ,NA,NA
Laitkor Peak S.O,793010,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2580502,NA,Shillong G.P.O. ,NA,NA
Laitkseh B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Laitkynsew B.O,793108,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrapunjee,East Khasi Hills,MEGHALAYA,NA,Cherrapunjee S.O,Shillong G.P.O. ,NA,NA
Laitlyngkot B.O,793110,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Pynursla,East Khasi Hills,MEGHALAYA,NA,Pynursla S.O,Shillong G.P.O. ,NA,NA
Laitnongrim B.O,793114,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawkyrwat,West Khasi Hills,MEGHALAYA,NA,Mawkyrwat S.O,Shillong G.P.O. ,NA,NA
Laitryngew B.O,793111,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrabazar,East Khasi Hills,MEGHALAYA,NA,Cherrabazar S.O,Shillong G.P.O. ,NA,NA
Laitumkhrah S.O,793003,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2221914,NA,Shillong G.P.O. ,NA,NA
Lamin B.O,793109,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Dawki,Jaintia Hills,MEGHALAYA,NA,Dawki S.O,Shillong G.P.O. ,NA,NA
Langdongdai B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Langkyrdem B.O,793110,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Pynursla,East Khasi Hills,MEGHALAYA,NA,Pynursla S.O,Shillong G.P.O. ,NA,NA
Langtor B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Laskein B.O,793150,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Jowai,Jaintia Hills,MEGHALAYA,NA,Jowai S.O,Shillong G.P.O. ,NA,NA
Lawbah B.O,793113,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawsynram,East Khasi Hills,MEGHALAYA,NA,Mawsynram S.O,Shillong G.P.O. ,NA,NA
Lawbyrtun B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Lawsohtun B.O,793004,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Laban,East Khasi Hills,MEGHALAYA,NA,Laban S.O,Shillong G.P.O. ,NA,NA
Lower Chandmari S.O,794002,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Lower Chandmari,West Garo Hills,MEGHALAYA,03651-224334,NA,Tura H.O,NA,NA
Lumshnong B.O,793200,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Khliehriat,Jaintia Hills,MEGHALAYA,NA,Khliehriat S.O,Shillong G.P.O. ,NA,NA
Lumshnong S.O,793210,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,NA,Jaintia Hills,MEGHALAYA,NA,NA,Shillong G.P.O. ,NA,NA
Lyngiong B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Lyngkhat B.O,793109,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Dawki,Jaintia Hills,MEGHALAYA,NA,Dawki S.O,Shillong G.P.O. ,NA,NA
Lyngkhoi B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Lynshing B.O,793015,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Smit,East Khasi Hills,MEGHALAYA,NA,Smit S.O,Shillong G.P.O. ,NA,NA
Madan Bitaw B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Madanbynther B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Madanriting S.O,793021,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2231346,NA,Shillong G.P.O. ,NA,NA
Mahadeo B.O,793108,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrapunjee,East Khasi Hills,MEGHALAYA,NA,Cherrapunjee S.O,Shillong G.P.O. ,NA,NA
Mahendraganj S.O (West Garo Hills),794106,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mahendraganj,West Garo Hills,MEGHALAYA,03651-265229,NA,Tura H.O,NA,NA
Mahesh Khola B.O,794114,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Rongra,South Garo Hills,MEGHALAYA,NA,Rongra S.O,Tura H.O,NA,NA
Mairang S.O,793120,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,03657-222221,NA,Shillong G.P.O. ,NA,NA
Majerchar B.O,794106,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mahendraganjj,West Garo Hills,MEGHALAYA,NA,Mahendraganj S.O (West Garo Hills),Tura H.O,NA,NA
Makali B.O,793106,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,NA,East Khasi Hills,MEGHALAYA,NA,Balat S.O,Shillong G.P.O. ,NA,NA
Mallengkona B.O,783123,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Kushdhowa,Goalpara,ASSAM,NA,Dhupdhara S.O,Dhubri H.O,NA,NA
Manai B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Mangsang B.O,794110,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Rongjeng,East Garo Hills,MEGHALAYA,NA,Rongjeng S.O,Tura H.O,NA,NA
Manikganj B.O,783122,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Dudnai,Goalpara,ASSAM,NA,Damra S.O,Dhubri H.O,NA,NA
Manlakandi B.O,794104,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Fulbari,West Garo Hills,MEGHALAYA,NA,Fulbari S.O (West Garo Hills),Tura H.O,NA,NA
Marbisu B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Marmain B.O,793102,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongpoh,Ri Bhoi,MEGHALAYA,NA,Nongpoh S.O,Shillong G.P.O. ,NA,NA
Marngar B.O,793102,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongpoh,Ri Bhoi,MEGHALAYA,NA,Nongpoh S.O,Shillong G.P.O. ,NA,NA
Marskuin B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Matchakgiri B.O,794002,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Lower Chandmari,West Garo Hills,MEGHALAYA,NA,Lower Chandmari S.O,Tura H.O,NA,NA
Mawbakhon B.O,793151,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Thadlaskein,Jaintia Hills,MEGHALAYA,NA,Thadlaskein S.O,Shillong G.P.O. ,NA,NA
Mawbeh B.O,793110,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Pynursla,East Khasi Hills,MEGHALAYA,NA,Pynursla S.O,Shillong G.P.O. ,NA,NA
Mawblang B.O,793108,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrapunjee,East Khasi Hills,MEGHALAYA,NA,Cherrapunjee S.O,Shillong G.P.O. ,NA,NA
Mawbri B.O,793103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Umiam,Ri Bhoi,MEGHALAYA,NA,Umiam S.O,Shillong G.P.O. ,NA,NA
Mawdongbazar B.O,793113,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawsynram,East Khasi Hills,MEGHALAYA,NA,Mawsynram S.O,Shillong G.P.O. ,NA,NA
Mawdymmai B.O,793151,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Thadlaskein,Jaintia Hills,MEGHALAYA,NA,Thadlaskein S.O,Shillong G.P.O. ,NA,NA
Maweitlyngngam B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Mawhati B.O,793105,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Umsning,Ri Bhoi,MEGHALAYA,NA,Umsning S.O,Shillong G.P.O. ,NA,NA
Mawhiang B.O,793113,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawsynram,East Khasi Hills,MEGHALAYA,NA,Mawsynram S.O,Shillong G.P.O. ,NA,NA
Mawiong S.O,793016,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2575117,NA,Shillong G.P.O. ,NA,NA
Mawkaiaw B.O,793150,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Jowai,Jaintia Hills,MEGHALAYA,NA,Jowai S.O,Shillong G.P.O. ,NA,NA
Mawkarah B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Mawkdok B.O,793111,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrabazar,East Khasi Hills,MEGHALAYA,NA,Cherrabazar S.O,Shillong G.P.O. ,NA,NA
Mawkhanu B.O,793012,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawpat,East Khasi Hills,MEGHALAYA,NA,Mawpat S.O,Shillong G.P.O. ,NA,NA
Mawklot B.O,793009,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nonglyer,East Khasi Hills,MEGHALAYA,NA,Nonglyer S.O,Shillong G.P.O. ,NA,NA
Mawkohngei B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Mawkriah B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Mawkyndeng B.O,793150,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Jowai,Jaintia Hills,MEGHALAYA,NA,Jowai S.O,Shillong G.P.O. ,NA,NA
Mawkynrew B.O,793015,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Smit,East Khasi Hills,MEGHALAYA,NA,Smit S.O,Shillong G.P.O. ,NA,NA
Mawkyrwat S.O,793114,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawkyrwat,West Khasi Hills,MEGHALAYA,0364-2221708,NA,Shillong G.P.O. ,NA,NA
Mawlai S.O,793017,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2545164,NA,Shillong G.P.O. ,NA,NA
Mawlasnai B.O,793103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Umiam,Ri Bhoi,MEGHALAYA,NA,Umiam S.O,Shillong G.P.O. ,NA,NA
Mawlat B.O,793015,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Smit,East Khasi Hills,MEGHALAYA,NA,Smit S.O,Shillong G.P.O. ,NA,NA
Mawlieh B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Mawlong B.O,793015,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Smit,East Khasi Hills,MEGHALAYA,NA,Smit S.O,Shillong G.P.O. ,NA,NA
Mawlong B.O,793108,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrapunjee,East Khasi Hills,MEGHALAYA,NA,Cherrapunjee S.O,Shillong G.P.O. ,NA,NA
Mawlong B.O,793102,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongpoh,Ri Bhoi,MEGHALAYA,NA,Nongpoh S.O,Shillong G.P.O. ,NA,NA
Mawlyngngad B.O,793015,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Smit,East Khasi Hills,MEGHALAYA,NA,Smit S.O,Shillong G.P.O. ,NA,NA
Mawlyngwir B.O,793114,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawkyrwat,West Khasi Hills,MEGHALAYA,NA,Mawkyrwat S.O,Shillong G.P.O. ,NA,NA
Mawmluh B.O,793108,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Cherrapunjee,East Khasi Hills,MEGHALAYA,NA,Cherrapunjee S.O,Shillong G.P.O. ,NA,NA
Mawngap B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Mawpat S.O,793012,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2233573,NA,Shillong G.P.O. ,NA,NA
Mawphlang S.O,793121,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,0364-2567221,NA,Shillong G.P.O. ,NA,NA
Mawpun B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Mawput B.O,793106,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,NA,East Khasi Hills,MEGHALAYA,NA,Balat S.O,Shillong G.P.O. ,NA,NA
Mawreng B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,East Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Mawroh B.O,793008,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawlai,East Khasi Hills,MEGHALAYA,NA,Phudmawri S.O,Shillong G.P.O. ,NA,NA
Mawrong B.O,793105,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Umsning,Ri Bhoi,MEGHALAYA,NA,Umsning S.O,Shillong G.P.O. ,NA,NA
Mawryngkneng B.O,793021,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Madanriting,East Khasi Hills,MEGHALAYA,NA,Madanriting S.O,Shillong G.P.O. ,NA,NA
Mawsaw B.O,793114,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawkyrwat,West Khasi Hills,MEGHALAYA,NA,Mawkyrwat S.O,Shillong G.P.O. ,NA,NA
Mawshut B.O,793120,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mairang ,West Khasi Hills,MEGHALAYA,NA,Mairang S.O,Shillong G.P.O. ,NA,NA
Mawsynram S.O,793113,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawsynram,East Khasi Hills,MEGHALAYA,0364-242373,NA,Shillong G.P.O. ,NA,NA
Mawtawar B.O,793022,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawlai,East Khasi Hills,MEGHALAYA,NA,Nehu S.O,Shillong G.P.O. ,NA,NA
Mawten B.O,793114,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawkyrwat,West Khasi Hills,MEGHALAYA,NA,Mawkyrwat S.O,Shillong G.P.O. ,NA,NA
Mawthapdoh B.O,793114,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawkyrwat,West Khasi Hills,MEGHALAYA,NA,Mawkyrwat S.O,Shillong G.P.O. ,NA,NA
Mawthengkut B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Mawthungkper B.O,793119,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Nongstoin,West Khasi Hills,MEGHALAYA,NA,Nongstoin S.O,Shillong G.P.O. ,NA,NA
Mawtiehbah B.O,793121,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mawphlang,West Khasi Hills,MEGHALAYA,NA,Mawphlang S.O,Shillong G.P.O. ,NA,NA
Mechanpani B.O,794104,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Fulbari,West Garo Hills,MEGHALAYA,NA,Fulbari S.O (West Garo Hills),Tura H.O,NA,NA
Meghalaya Secretariat S.O,793001,S.O,Non-Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,03642-2222982,NA,Shillong G.P.O. ,NA,NA
Melliam B.O,794105,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Garobadha,West Garo Hills,MEGHALAYA,NA,Garobadha S.O,Tura H.O,NA,NA
Mendal B.O,794002,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Lower Chandmari,West Garo Hills,MEGHALAYA,NA,Lower Chandmari S.O,Tura H.O,NA,NA
Mendikgiri B.O,794102,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Baghmara,South Garo Hills,MEGHALAYA,NA,Baghmara S.O,Tura H.O,NA,NA
Mendima B.O,783122,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Dudnai,Goalpara,ASSAM,NA,Damra S.O,Dhubri H.O,NA,NA
Mendipathar S.O,794112,S.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Mendipathar,West Garo Hills,MEGHALAYA,03659-222230,NA,Tura H.O,NA,NA
Mihanpara B.O,794103,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Barengapara,West Garo Hills,MEGHALAYA,NA,Barengapara S.O,Tura H.O,NA,NA
Mihmyntdu B.O,793150,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Jowai,Jaintia Hills,MEGHALAYA,NA,Jowai S.O,Shillong G.P.O. ,NA,NA
Monobari B.O,794105,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Garobadha,West Garo Hills,MEGHALAYA,NA,Garobadha S.O,Tura H.O,NA,NA
Mookynniang B.O,793151,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Thadlaskein,Jaintia Hills,MEGHALAYA,NA,Thadlaskein S.O,Shillong G.P.O. ,NA,NA
Mualsei B.O,793200,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Khliehriat,Jaintia Hills,MEGHALAYA,NA,Khliehriat S.O,Shillong G.P.O. ,NA,NA
Mukhdangra B.O,794105,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Garobadha,West Garo Hills,MEGHALAYA,NA,Garobadha S.O,Tura H.O,NA,NA
Mukhialong B.O,793160,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Ladrymbai,Jaintia Hills,MEGHALAYA,NA,Ladrymbai S.O,Shillong G.P.O. ,NA,NA
Muktapur B.O,793109,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Dawki,Jaintia Hills,MEGHALAYA,NA,Dawki S.O,Shillong G.P.O. ,NA,NA
Munai B.O,793106,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,NA,East Khasi Hills,MEGHALAYA,NA,Balat S.O,Shillong G.P.O. ,NA,NA
Mupyut B.O,793150,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Jowai,Jaintia Hills,MEGHALAYA,NA,Jowai S.O,Shillong G.P.O. ,NA,NA
Musniang B.O,793160,B.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Ladrymbai,Jaintia Hills,MEGHALAYA,NA,Ladrymbai S.O,Shillong G.P.O. ,NA,NA
